idade,data,estado,salario,nivel_educacao,numero_filhos,estado_civil,area_atuacao
26,1998-04-10,Alagoas,19962.12,Ensino Fundamental,2,Divorciado(a),Direito
27,1997-03-24,Paraíba,5981.91,Ensino Médio,2,Casado(a),Educação
41,1983-04-30,Rio de Janeiro,13298.11,Ensino Médio,0,Divorciado(a),Marketing
25,1999-04-12,Paraná,17415.11,Ensino Fundamental,3,Casado(a),Tecnologia
49,1975-02-16,Espírito Santo,19449.78,Ensino Médio,1,Divorciado(a),Marketing
30,1994-07-22,Alagoas,6098.6,Ensino Fundamental,3,Casado(a),Engenharia
55,1968-11-06,Mato Grosso do Sul,4457.31,Doutorado,3,Viúvo(a),Engenharia
54,1970-05-22,Acre,15632.28,Pós-graduação,5,Casado(a),Engenharia
54,1969-11-29,Distrito Federal,5711.65,Doutorado,2,Divorciado(a),Educação
26,1998-08-02,Amapá,5518.91,Mestrado,5,Viúvo(a),Educação
52,1971-10-12,Rondônia,4781.98,Doutorado,0,Casado(a),Saúde
33,1991-08-01,Mato Grosso,8587.82,Ensino Médio,0,Casado(a),Saúde
55,1969-02-25,Rio de Janeiro,16100.1,Ensino Fundamental,4,Casado(a),Educação
50,1974-02-02,Alagoas,7091.21,Doutorado,3,Viúvo(a),Saúde
23,2001-08-04,Paraíba,13202.15,Pós-graduação,0,Divorciado(a),Finanças
24,2000-04-28,Santa Catarina,16190.2,Ensino Fundamental,2,Viúvo(a),Educação
24,1999-08-26,Espírito Santo,18129.34,Graduação,0,Solteiro(a),Marketing
28,1996-06-08,Roraima,3992.56,Ensino Médio,5,Divorciado(a),Saúde
54,1970-05-27,Santa Catarina,16013.6,Pós-graduação,2,Viúvo(a),Engenharia
23,2001-08-05,Pará,4224.13,Mestrado,5,Divorciado(a),Engenharia
33,1991-01-14,Mato Grosso,18747.79,Graduação,3,Casado(a),Tecnologia
20,2003-12-05,Minas Gerais,5619.92,Pós-graduação,0,Divorciado(a),Tecnologia
21,2003-07-08,Paraná,5925.89,Graduação,2,Viúvo(a),Saúde
59,1964-10-09,Espírito Santo,15943.06,Doutorado,0,Solteiro(a),Tecnologia
51,1973-04-16,Distrito Federal,10800.97,Ensino Médio,5,Divorciado(a),Educação
39,1985-03-30,Maranhão,19526.51,Pós-graduação,4,Solteiro(a),Direito
39,1985-04-08,Distrito Federal,8511.89,Ensino Médio,0,Casado(a),Direito
33,1990-08-25,Espírito Santo,19757.0,Ensino Fundamental,0,Solteiro(a),Engenharia
35,1988-09-20,Goiás,2594.95,Graduação,5,Viúvo(a),Engenharia
19,2005-07-25,Pernambuco,6323.04,Graduação,1,Divorciado(a),Tecnologia
22,2001-12-31,Mato Grosso,6671.77,Ensino Fundamental,2,Viúvo(a),Engenharia
20,2003-11-25,Pernambuco,17403.37,Pós-graduação,4,Solteiro(a),Direito
58,1966-03-18,Rondônia,19205.65,Ensino Médio,1,Solteiro(a),Direito
50,1974-03-05,Roraima,2420.18,Pós-graduação,5,Solteiro(a),Saúde
47,1977-07-04,Ceará,13267.93,Ensino Médio,5,Solteiro(a),Direito
37,1986-12-21,Pernambuco,18491.97,Pós-graduação,2,Casado(a),Direito
51,1972-10-06,Bahia,15905.47,Pós-graduação,3,Divorciado(a),Marketing
25,1999-07-11,Alagoas,14496.84,Ensino Fundamental,0,Solteiro(a),Finanças
41,1982-10-19,Roraima,18545.74,Graduação,5,Divorciado(a),Educação
33,1990-12-31,Pará,16317.99,Ensino Fundamental,2,Divorciado(a),Educação
60,1964-02-12,Tocantins,18746.86,Mestrado,4,Divorciado(a),Educação
36,1988-03-04,Santa Catarina,14558.45,Doutorado,5,Casado(a),Educação
53,1970-09-01,Bahia,5386.93,Graduação,2,Solteiro(a),Educação
51,1973-07-25,Rondônia,3658.06,Pós-graduação,0,Divorciado(a),Saúde
18,2006-02-05,Roraima,10683.3,Doutorado,4,Divorciado(a),Saúde
30,1993-10-15,Minas Gerais,17953.87,Pós-graduação,2,Viúvo(a),Finanças
20,2004-08-10,Tocantins,17321.9,Ensino Fundamental,4,Solteiro(a),Educação
34,1990-04-19,Amazonas,2261.0,Doutorado,1,Casado(a),Marketing
47,1976-12-21,Mato Grosso do Sul,8573.25,Graduação,3,Solteiro(a),Tecnologia
40,1984-06-22,Sergipe,19076.84,Mestrado,2,Divorciado(a),Direito
53,1970-12-01,Rio Grande do Norte,6550.87,Doutorado,3,Solteiro(a),Engenharia
28,1995-12-23,Bahia,13822.11,Graduação,3,Viúvo(a),Engenharia
31,1993-04-28,São Paulo,8898.65,Mestrado,4,Viúvo(a),Engenharia
43,1980-12-01,Rio Grande do Norte,7682.25,Pós-graduação,5,Casado(a),Tecnologia
35,1988-09-17,Espírito Santo,15265.71,Graduação,2,Divorciado(a),Educação
28,1996-03-26,Paraná,17552.59,Pós-graduação,2,Divorciado(a),Marketing
38,1986-06-07,Amapá,12543.68,Pós-graduação,4,Divorciado(a),Saúde
59,1965-03-01,Alagoas,19748.82,Mestrado,4,Casado(a),Engenharia
58,1966-07-31,Paraíba,10246.79,Mestrado,5,Divorciado(a),Engenharia
51,1973-03-02,São Paulo,18565.5,Graduação,3,Solteiro(a),Finanças
20,2003-08-26,Mato Grosso do Sul,7520.32,Mestrado,5,Viúvo(a),Tecnologia
50,1974-03-27,Bahia,16089.8,Ensino Fundamental,5,Divorciado(a),Saúde
39,1984-12-14,Piauí,5430.57,Ensino Fundamental,3,Divorciado(a),Finanças
49,1975-06-13,Bahia,11644.33,Ensino Fundamental,2,Viúvo(a),Educação
55,1969-03-08,São Paulo,19867.48,Mestrado,3,Divorciado(a),Direito
55,1969-03-06,Minas Gerais,10330.68,Graduação,0,Casado(a),Educação
27,1997-07-21,Rio Grande do Sul,13224.4,Doutorado,2,Viúvo(a),Engenharia
20,2004-08-18,Rio de Janeiro,17820.3,Ensino Fundamental,2,Viúvo(a),Saúde
49,1974-11-23,Amapá,8067.25,Ensino Médio,1,Divorciado(a),Saúde
40,1984-05-21,São Paulo,15571.97,Graduação,3,Casado(a),Educação
25,1999-03-05,Rio Grande do Norte,3550.0,Ensino Médio,1,Solteiro(a),Saúde
41,1983-03-25,Bahia,17998.41,Graduação,0,Casado(a),Marketing
42,1982-02-07,Paraná,14024.78,Doutorado,2,Solteiro(a),Direito
18,2006-02-14,Pernambuco,2389.36,Doutorado,3,Viúvo(a),Marketing
51,1972-12-06,Minas Gerais,13442.57,Mestrado,0,Divorciado(a),Direito
29,1995-03-05,Mato Grosso,15367.82,Ensino Fundamental,5,Viúvo(a),Engenharia
54,1969-11-12,Tocantins,5622.5,Ensino Médio,1,Solteiro(a),Marketing
51,1973-02-08,Mato Grosso,4156.96,Ensino Médio,0,Casado(a),Tecnologia
30,1994-05-06,Acre,6607.92,Graduação,3,Divorciado(a),Tecnologia
35,1989-06-29,Acre,13443.75,Ensino Médio,1,Solteiro(a),Educação
24,2000-06-04,Pará,3015.63,Pós-graduação,0,Viúvo(a),Finanças
56,1967-10-02,Ceará,13103.52,Mestrado,2,Divorciado(a),Direito
57,1967-05-01,Tocantins,12092.23,Ensino Fundamental,0,Solteiro(a),Direito
20,2004-03-12,Tocantins,4708.41,Pós-graduação,3,Casado(a),Tecnologia
51,1973-01-01,Alagoas,18696.45,Mestrado,0,Solteiro(a),Tecnologia
43,1981-06-14,São Paulo,16432.64,Doutorado,3,Divorciado(a),Tecnologia
57,1966-08-31,Rondônia,6608.34,Ensino Fundamental,3,Casado(a),Marketing
51,1973-04-29,Roraima,13517.09,Doutorado,0,Viúvo(a),Engenharia
41,1982-09-17,Mato Grosso,14508.18,Ensino Fundamental,3,Casado(a),Tecnologia
36,1988-05-09,Mato Grosso,17797.87,Doutorado,3,Divorciado(a),Educação
36,1988-02-14,Maranhão,15701.69,Ensino Médio,5,Viúvo(a),Marketing
30,1993-12-19,Amazonas,12370.69,Ensino Fundamental,3,Divorciado(a),Engenharia
32,1992-01-24,Paraná,8841.31,Mestrado,3,Casado(a),Direito
42,1982-06-21,Santa Catarina,6484.53,Mestrado,2,Divorciado(a),Direito
33,1991-02-24,Pará,11858.53,Mestrado,0,Casado(a),Educação
44,1980-04-21,Mato Grosso,10236.4,Ensino Médio,3,Viúvo(a),Educação
46,1978-05-01,Amazonas,3092.3,Graduação,5,Casado(a),Direito
42,1982-03-09,Tocantins,15875.65,Pós-graduação,0,Viúvo(a),Educação
35,1989-05-01,Mato Grosso,3656.62,Mestrado,0,Viúvo(a),Saúde
25,1998-08-26,Alagoas,18410.1,Doutorado,0,Solteiro(a),Finanças
39,1985-05-25,Santa Catarina,3905.82,Graduação,5,Divorciado(a),Tecnologia
43,1980-09-09,Goiás,4400.07,Ensino Médio,3,Viúvo(a),Educação
45,1979-03-20,Ceará,6093.08,Ensino Médio,4,Solteiro(a),Finanças
55,1969-06-30,Mato Grosso,11861.59,Doutorado,0,Divorciado(a),Direito
22,2001-11-16,Minas Gerais,7153.48,Graduação,0,Divorciado(a),Saúde
18,2005-11-21,Piauí,18473.27,Graduação,1,Solteiro(a),Educação
32,1992-01-05,Goiás,4987.85,Ensino Médio,0,Viúvo(a),Engenharia
56,1968-05-14,São Paulo,6795.28,Pós-graduação,5,Divorciado(a),Marketing
58,1966-08-08,Acre,6964.83,Graduação,3,Casado(a),Engenharia
53,1971-04-19,Minas Gerais,13717.38,Doutorado,0,Viúvo(a),Marketing
49,1974-11-14,Pernambuco,15753.71,Graduação,2,Viúvo(a),Educação
60,1964-05-06,Espírito Santo,11716.06,Ensino Médio,5,Solteiro(a),Engenharia
50,1974-01-01,Paraíba,13560.68,Graduação,3,Casado(a),Educação
58,1966-07-25,Paraíba,14513.39,Pós-graduação,2,Casado(a),Saúde
28,1996-08-18,Piauí,13061.24,Graduação,1,Viúvo(a),Engenharia
30,1993-09-08,Pará,12337.86,Ensino Fundamental,0,Divorciado(a),Marketing
18,2005-12-09,Ceará,17631.68,Mestrado,4,Viúvo(a),Educação
41,1983-01-15,Mato Grosso do Sul,17620.48,Ensino Médio,0,Solteiro(a),Finanças
45,1978-09-19,Distrito Federal,16513.25,Pós-graduação,2,Casado(a),Finanças
41,1983-02-26,Maranhão,3839.16,Pós-graduação,0,Solteiro(a),Direito
60,1963-09-22,Sergipe,3051.41,Ensino Médio,3,Divorciado(a),Saúde
33,1991-01-25,Paraná,14294.95,Mestrado,1,Casado(a),Educação
48,1976-03-04,Piauí,17037.41,Pós-graduação,1,Viúvo(a),Tecnologia
59,1965-06-17,Tocantins,6880.63,Ensino Fundamental,4,Casado(a),Tecnologia
25,1998-10-02,Tocantins,14802.94,Pós-graduação,2,Viúvo(a),Saúde
35,1988-10-29,Mato Grosso do Sul,7332.42,Doutorado,4,Viúvo(a),Marketing
37,1987-05-10,Amapá,13404.46,Doutorado,5,Divorciado(a),Direito
19,2005-05-16,Rio Grande do Norte,13008.69,Doutorado,3,Solteiro(a),Engenharia
26,1998-08-01,Roraima,13117.48,Pós-graduação,4,Solteiro(a),Tecnologia
28,1996-05-23,Goiás,5697.96,Graduação,4,Divorciado(a),Tecnologia
52,1972-02-08,Goiás,17277.3,Mestrado,4,Casado(a),Marketing
25,1999-06-26,Goiás,13237.25,Mestrado,1,Solteiro(a),Marketing
37,1986-08-31,Espírito Santo,18124.47,Ensino Médio,5,Solteiro(a),Educação
21,2002-09-04,Paraíba,15508.74,Graduação,3,Divorciado(a),Direito
37,1986-10-25,Acre,5557.52,Doutorado,0,Viúvo(a),Saúde
60,1964-02-13,Espírito Santo,12785.37,Graduação,1,Solteiro(a),Tecnologia
44,1980-08-19,Mato Grosso,14451.7,Doutorado,4,Viúvo(a),Finanças
55,1968-10-01,Amapá,18424.46,Mestrado,1,Viúvo(a),Tecnologia
20,2004-01-07,Acre,3826.81,Pós-graduação,4,Casado(a),Saúde
45,1979-08-09,São Paulo,10331.95,Ensino Médio,2,Casado(a),Educação
27,1997-07-13,Mato Grosso,4027.31,Ensino Fundamental,3,Solteiro(a),Marketing
35,1989-05-08,Mato Grosso,3145.93,Pós-graduação,1,Solteiro(a),Engenharia
25,1998-10-07,Distrito Federal,14486.7,Mestrado,4,Viúvo(a),Educação
60,1964-02-22,Pará,11333.11,Ensino Médio,3,Solteiro(a),Marketing
21,2002-09-27,Goiás,11825.68,Doutorado,2,Casado(a),Tecnologia
18,2006-07-21,Mato Grosso do Sul,15574.81,Pós-graduação,3,Solteiro(a),Marketing
27,1997-05-10,Pernambuco,19895.28,Pós-graduação,0,Divorciado(a),Saúde
37,1987-02-06,Mato Grosso do Sul,2598.76,Mestrado,1,Casado(a),Finanças
20,2003-10-21,Piauí,12761.82,Doutorado,2,Divorciado(a),Engenharia
46,1978-05-16,Espírito Santo,14045.94,Ensino Fundamental,0,Viúvo(a),Tecnologia
26,1997-10-10,Ceará,3638.66,Mestrado,1,Casado(a),Finanças
42,1982-04-24,São Paulo,2015.49,Ensino Fundamental,4,Solteiro(a),Saúde
53,1971-01-07,Rondônia,14230.73,Graduação,5,Casado(a),Marketing
53,1971-06-26,Rondônia,7164.68,Mestrado,0,Viúvo(a),Educação
48,1975-12-28,Santa Catarina,8525.03,Ensino Fundamental,5,Solteiro(a),Marketing
54,1969-11-27,Maranhão,10989.27,Doutorado,4,Viúvo(a),Educação
29,1994-12-02,Distrito Federal,15439.5,Graduação,3,Casado(a),Marketing
47,1976-12-02,Sergipe,9603.58,Graduação,4,Casado(a),Tecnologia
53,1970-12-11,Espírito Santo,9089.09,Pós-graduação,0,Casado(a),Tecnologia
27,1997-04-25,Acre,2408.3,Mestrado,0,Solteiro(a),Finanças
23,2001-06-04,Piauí,18955.81,Pós-graduação,1,Viúvo(a),Saúde
29,1995-05-24,Rio de Janeiro,7490.71,Graduação,4,Divorciado(a),Direito
18,2006-07-24,Roraima,3119.76,Doutorado,0,Casado(a),Marketing
29,1994-12-20,Paraná,12704.16,Graduação,4,Casado(a),Engenharia
39,1984-12-26,Pará,18451.82,Graduação,4,Casado(a),Marketing
47,1977-05-02,Alagoas,7222.84,Doutorado,3,Viúvo(a),Engenharia
53,1971-06-28,Santa Catarina,19941.41,Pós-graduação,3,Solteiro(a),Engenharia
45,1979-07-23,Tocantins,11394.17,Pós-graduação,5,Viúvo(a),Saúde
19,2005-07-01,Minas Gerais,5921.42,Ensino Médio,3,Solteiro(a),Educação
48,1976-05-16,Pernambuco,19662.98,Graduação,0,Solteiro(a),Engenharia
18,2006-07-29,Minas Gerais,10097.94,Ensino Médio,5,Divorciado(a),Saúde
35,1988-09-10,Distrito Federal,3228.69,Ensino Fundamental,1,Casado(a),Finanças
47,1976-08-25,Rio Grande do Sul,12733.5,Mestrado,0,Casado(a),Finanças
35,1988-09-04,Acre,6248.32,Doutorado,2,Viúvo(a),Marketing
26,1998-05-03,Amapá,15721.95,Mestrado,1,Viúvo(a),Tecnologia
40,1983-11-15,Tocantins,12052.51,Doutorado,3,Viúvo(a),Direito
21,2002-08-23,Minas Gerais,4849.37,Ensino Médio,0,Solteiro(a),Engenharia
41,1983-05-01,Goiás,13152.84,Ensino Fundamental,5,Casado(a),Finanças
43,1980-11-26,Amapá,11080.42,Mestrado,3,Casado(a),Tecnologia
18,2005-11-22,Acre,13396.83,Pós-graduação,5,Solteiro(a),Educação
42,1982-04-24,Ceará,8069.49,Mestrado,0,Solteiro(a),Direito
45,1979-07-30,Mato Grosso,17297.78,Ensino Médio,3,Solteiro(a),Educação
25,1999-06-27,Maranhão,7859.42,Mestrado,4,Solteiro(a),Saúde
49,1975-07-01,Minas Gerais,5478.93,Ensino Médio,3,Solteiro(a),Finanças
34,1990-06-22,Ceará,18977.64,Doutorado,4,Divorciado(a),Tecnologia
49,1975-08-12,Rio Grande do Norte,5653.14,Pós-graduação,5,Casado(a),Marketing
42,1982-04-24,Paraná,2963.4,Pós-graduação,0,Divorciado(a),Engenharia
42,1982-05-11,Paraíba,2637.32,Ensino Médio,2,Solteiro(a),Direito
55,1968-09-30,Santa Catarina,5309.97,Doutorado,3,Divorciado(a),Engenharia
60,1963-08-23,Distrito Federal,10957.98,Ensino Fundamental,5,Divorciado(a),Educação
55,1969-06-15,Amapá,8217.49,Ensino Fundamental,4,Solteiro(a),Direito
56,1967-12-14,Goiás,5751.5,Pós-graduação,4,Casado(a),Saúde
32,1992-03-23,Sergipe,2309.29,Ensino Fundamental,1,Casado(a),Direito
53,1971-07-13,Rio Grande do Sul,12147.41,Doutorado,2,Viúvo(a),Marketing
36,1988-05-06,Sergipe,7221.94,Ensino Fundamental,0,Solteiro(a),Engenharia
50,1974-05-07,São Paulo,7125.34,Ensino Fundamental,5,Divorciado(a),Tecnologia
50,1973-09-04,Roraima,18588.44,Ensino Médio,5,Casado(a),Engenharia
31,1993-05-23,Piauí,15614.51,Doutorado,0,Divorciado(a),Direito
34,1989-11-15,Acre,17577.23,Ensino Fundamental,1,Casado(a),Tecnologia
30,1994-08-05,Rio Grande do Norte,5673.42,Doutorado,3,Divorciado(a),Direito
26,1998-05-16,Tocantins,14743.6,Doutorado,5,Divorciado(a),Finanças
34,1990-07-18,São Paulo,18607.27,Graduação,3,Viúvo(a),Marketing
46,1978-07-06,Piauí,4071.2,Graduação,4,Divorciado(a),Educação
58,1966-08-15,Acre,19572.9,Pós-graduação,1,Solteiro(a),Tecnologia
56,1968-05-25,Mato Grosso,17736.63,Ensino Médio,1,Viúvo(a),Engenharia
43,1981-05-04,Acre,9926.84,Ensino Médio,4,Solteiro(a),Finanças
57,1967-07-15,Piauí,4162.54,Mestrado,2,Divorciado(a),Finanças
45,1979-07-22,Ceará,18131.33,Ensino Médio,4,Casado(a),Engenharia
47,1977-07-02,Maranhão,15169.63,Ensino Médio,1,Viúvo(a),Engenharia
51,1973-04-22,Minas Gerais,16770.29,Ensino Médio,2,Solteiro(a),Tecnologia
58,1966-01-30,Espírito Santo,18891.96,Graduação,0,Casado(a),Finanças
37,1987-05-13,Acre,16138.56,Ensino Médio,5,Divorciado(a),Engenharia
40,1983-12-11,Roraima,13915.42,Ensino Médio,0,Solteiro(a),Tecnologia
54,1969-10-14,Distrito Federal,12258.99,Pós-graduação,5,Viúvo(a),Saúde
45,1979-07-02,Santa Catarina,13045.06,Pós-graduação,2,Divorciado(a),Direito
54,1970-02-11,Amapá,5112.54,Pós-graduação,2,Solteiro(a),Tecnologia
32,1992-03-07,Minas Gerais,12983.35,Pós-graduação,2,Casado(a),Marketing
52,1971-12-27,Distrito Federal,5478.35,Mestrado,0,Solteiro(a),Marketing
59,1965-06-24,Rio de Janeiro,2581.49,Graduação,1,Divorciado(a),Finanças
22,2002-05-27,Bahia,11318.97,Pós-graduação,3,Solteiro(a),Direito
36,1988-01-04,Bahia,3104.19,Graduação,0,Viúvo(a),Finanças
35,1988-11-17,Rio de Janeiro,6723.36,Ensino Médio,3,Solteiro(a),Engenharia
59,1965-02-27,Rio de Janeiro,6632.21,Doutorado,3,Viúvo(a),Tecnologia
59,1964-12-23,Alagoas,19856.13,Mestrado,1,Divorciado(a),Marketing
24,2000-08-13,Alagoas,7788.69,Ensino Fundamental,2,Casado(a),Marketing
28,1995-10-06,Minas Gerais,4022.0,Mestrado,2,Divorciado(a),Educação
29,1995-08-02,Alagoas,16794.51,Pós-graduação,5,Casado(a),Direito
53,1971-03-29,Roraima,5946.86,Ensino Médio,5,Viúvo(a),Saúde
47,1977-02-27,Paraíba,6477.21,Ensino Médio,2,Solteiro(a),Saúde
39,1984-12-16,Pará,11415.72,Pós-graduação,0,Divorciado(a),Saúde
42,1982-04-16,Santa Catarina,4794.51,Doutorado,5,Viúvo(a),Finanças
19,2004-08-29,Rio Grande do Sul,13099.91,Ensino Médio,5,Divorciado(a),Direito
44,1980-05-29,Bahia,18656.06,Mestrado,2,Viúvo(a),Marketing
24,2000-02-04,Pará,9490.39,Graduação,2,Divorciado(a),Engenharia
27,1997-04-06,Rio Grande do Norte,2591.84,Pós-graduação,2,Divorciado(a),Marketing
48,1976-05-13,Amapá,12999.36,Mestrado,1,Casado(a),Marketing
20,2004-06-16,Pará,13127.39,Graduação,1,Solteiro(a),Direito
36,1988-03-14,Mato Grosso do Sul,18922.53,Graduação,3,Viúvo(a),Finanças
53,1971-01-12,Rondônia,3346.16,Ensino Fundamental,4,Casado(a),Marketing
31,1993-07-04,Rio de Janeiro,7285.79,Ensino Fundamental,1,Divorciado(a),Tecnologia
59,1965-04-03,Pará,19771.11,Doutorado,3,Viúvo(a),Educação
32,1992-05-23,Maranhão,3204.34,Graduação,3,Solteiro(a),Saúde
21,2002-10-12,Pernambuco,12922.52,Mestrado,1,Divorciado(a),Marketing
24,1999-10-26,Espírito Santo,16464.66,Pós-graduação,4,Viúvo(a),Marketing
43,1981-02-25,Alagoas,17759.09,Mestrado,1,Divorciado(a),Saúde
19,2004-12-26,Alagoas,18004.52,Ensino Fundamental,3,Solteiro(a),Saúde
43,1981-02-17,Rio Grande do Norte,9984.28,Pós-graduação,3,Divorciado(a),Tecnologia
18,2006-06-04,Mato Grosso do Sul,4261.79,Mestrado,3,Solteiro(a),Educação
45,1978-10-26,Ceará,4634.17,Ensino Médio,4,Viúvo(a),Marketing
29,1995-01-08,Pernambuco,11018.93,Graduação,4,Divorciado(a),Engenharia
58,1965-12-12,Ceará,4966.57,Mestrado,1,Viúvo(a),Marketing
57,1966-12-16,Sergipe,7637.79,Pós-graduação,5,Casado(a),Educação
59,1964-12-17,Rio de Janeiro,16022.63,Ensino Médio,5,Solteiro(a),Marketing
25,1999-07-11,Rio Grande do Norte,13521.62,Graduação,5,Viúvo(a),Educação
45,1979-03-21,Rio Grande do Sul,11655.49,Graduação,1,Solteiro(a),Engenharia
43,1980-11-17,Santa Catarina,11722.0,Graduação,4,Solteiro(a),Finanças
47,1977-08-02,Paraná,3806.84,Mestrado,0,Divorciado(a),Tecnologia
41,1982-12-21,Espírito Santo,9957.58,Ensino Médio,4,Casado(a),Finanças
25,1998-10-22,Rio de Janeiro,6138.79,Graduação,4,Solteiro(a),Finanças
48,1976-02-19,Distrito Federal,6460.72,Ensino Fundamental,2,Divorciado(a),Saúde
25,1998-08-24,Amazonas,12324.2,Ensino Fundamental,4,Viúvo(a),Marketing
34,1989-12-16,São Paulo,6481.89,Pós-graduação,1,Viúvo(a),Direito
55,1969-06-19,São Paulo,12375.24,Doutorado,1,Casado(a),Finanças
34,1989-11-22,Minas Gerais,19365.49,Ensino Médio,1,Viúvo(a),Direito
46,1977-09-04,Amazonas,5010.11,Ensino Fundamental,1,Solteiro(a),Direito
58,1966-02-09,São Paulo,16878.44,Doutorado,1,Casado(a),Saúde
42,1981-12-06,Amapá,10150.01,Doutorado,5,Divorciado(a),Educação
35,1989-07-11,Mato Grosso,6204.38,Ensino Fundamental,5,Viúvo(a),Direito
30,1994-06-14,São Paulo,17768.8,Doutorado,2,Solteiro(a),Tecnologia
40,1984-06-18,Alagoas,4242.2,Pós-graduação,4,Casado(a),Direito
23,2000-10-30,Amapá,11956.96,Ensino Médio,2,Divorciado(a),Tecnologia
45,1979-01-22,Alagoas,19345.42,Mestrado,2,Solteiro(a),Marketing
47,1976-11-13,Rio Grande do Sul,15758.59,Ensino Fundamental,1,Divorciado(a),Engenharia
20,2004-02-25,Ceará,14456.5,Doutorado,2,Casado(a),Finanças
43,1981-03-02,Roraima,7503.68,Mestrado,0,Viúvo(a),Engenharia
45,1978-12-08,Paraíba,9301.62,Ensino Médio,5,Divorciado(a),Marketing
19,2004-10-27,São Paulo,18588.16,Mestrado,0,Divorciado(a),Educação
54,1970-08-05,Pará,18764.0,Graduação,0,Viúvo(a),Tecnologia
53,1970-12-16,Amapá,5368.64,Pós-graduação,0,Casado(a),Engenharia
46,1978-05-12,Espírito Santo,14949.74,Graduação,4,Viúvo(a),Marketing
44,1980-05-25,Espírito Santo,10550.39,Mestrado,2,Divorciado(a),Educação
51,1973-05-22,Paraná,7723.78,Pós-graduação,2,Casado(a),Engenharia
55,1969-02-24,Amazonas,7848.28,Mestrado,2,Casado(a),Saúde
26,1998-05-08,Rio de Janeiro,5208.07,Ensino Médio,3,Divorciado(a),Tecnologia
49,1974-09-25,Rio de Janeiro,19335.48,Ensino Médio,0,Solteiro(a),Marketing
31,1992-11-02,Piauí,14153.24,Doutorado,2,Solteiro(a),Finanças
57,1967-01-15,Amazonas,15185.89,Pós-graduação,2,Viúvo(a),Saúde
34,1990-03-07,Minas Gerais,9746.02,Doutorado,5,Viúvo(a),Finanças
